oisifs;oisives
sulfureux;sulfureuses
fous;folles
équidistants;équidistantes
chétifs;chétives
frêles;frêles
audacieux;audacieuse
sexys;sexys
révolutionnaires;révolutionnaires
déjantés;déjantées
mégalomanes;mégalomanes
antipragmatiques;antipragmatiques
vitaminés;vitaminées
recyclés;reclyclées
épatants;épatantes
affamés;affamées
intrépides;intrépides
bavards;bavardes
dingues;dingues
timides;timides
creux;creuses
capricieux;capricieuses
immatures;immatures
obstinés;obstinées
fainéants;fainéantes
têtus;têtues
aigris;aigries
désinvoltes;désinvoltes
dociles;dociles
étourdis;étourdies
indécis;indécises
survoltés;survoltées
mous;molles
méticuleux;méticuleuses
hautains;hautaines
râleurs;râleuses
charmants;charmantes
timbrés;timbrées
volants;volantes
adjacents;adjacentes
du dimanche;du dimanche
pressés;pressées
apeurés;apeurées
joufflus;joufflues
musclés;musclées
ravissants;ravissantes
parfaits;parfaites
radieux;radieuses
bronzés;bronzées
barbus;barbues
